,Week_Number,Symbol,High,Low
0,1.0,ADANIENT,159.5,0.0
1,1.0,APOLLOTYRE,0.0,0.0
2,1.0,BAJFINANCE,2657.5,0.0
3,1.0,CANBK,284.25,0.0
4,1.0,ESCORTS,715.0,0.0
5,1.0,JINDALSTEL,158.65,148.7
6,1.0,RELIANCE,1140.5,1100.0
7,1.0,TATAMOTORS,182.8,168.0
8,2.0,ADANIENT,152.25,0.0
9,2.0,APOLLOTYRE,0.0,0.0
10,2.0,BAJFINANCE,2644.1,0.0
11,2.0,CANBK,286.0,0.0
12,2.0,ESCORTS,745.0,0.0
13,2.0,JINDALSTEL,156.45,145.3
14,2.0,RELIANCE,1148.75,1100.0
15,2.0,TATAMOTORS,189.4,180.35
16,3.0,ADANIENT,153.25,145.0
17,3.0,APOLLOTYRE,226.45,0.0
18,3.0,BAJFINANCE,2645.05,2570.0
19,3.0,CANBK,284.6,270.6
20,3.0,ESCORTS,726.0,0.0
21,3.0,JINDALSTEL,150.1,137.4
22,3.0,RELIANCE,1259.0,1143.1
23,3.0,TATAMOTORS,189.7,178.15
24,4.0,ADANIENT,147.0,0.0
25,4.0,APOLLOTYRE,218.6,0.0
26,4.0,BAJFINANCE,2679.35,2389.6
27,4.0,CANBK,265.75,241.0
28,4.0,ESCORTS,740.0,638.0
29,4.0,JINDALSTEL,146.15,129.85
30,4.0,RELIANCE,1275.5,1218.0
31,4.0,TATAMOTORS,183.5,171.15
32,5.0,ADANIENT,144.35,120.5
33,5.0,APOLLOTYRE,210.45,198.95
34,5.0,BAJFINANCE,2705.9,2550.5
35,5.0,CANBK,254.25,231.1
36,5.0,ESCORTS,699.0,652.6
37,5.0,JINDALSTEL,138.9,126.6
38,5.0,RELIANCE,1313.0,1204.0
39,5.0,TATAMOTORS,187.8,175.0
40,6.0,ADANIENT,128.3,0.0
41,6.0,APOLLOTYRE,208.6,196.0
42,6.0,BAJFINANCE,2758.25,2640.0
43,6.0,CANBK,243.0,222.4
44,6.0,ESCORTS,695.0,615.6
45,6.0,JINDALSTEL,143.5,124.3
46,6.0,RELIANCE,1330.95,1262.9
47,6.0,TATAMOTORS,186.8,130.0
48,7.0,ADANIENT,126.8,0.0
49,7.0,APOLLOTYRE,210.0,198.0
50,7.0,BAJFINANCE,2668.15,2525.0
51,7.0,CANBK,228.0,214.7
52,7.0,ESCORTS,655.0,607.05
53,7.0,JINDALSTEL,145.85,137.3
54,7.0,RELIANCE,1285.55,1219.9
55,7.0,TATAMOTORS,166.55,152.6
56,8.0,ADANIENT,136.4,120.7
57,8.0,APOLLOTYRE,215.25,205.3
58,8.0,BAJFINANCE,2692.9,2591.3
59,8.0,CANBK,226.0,214.5
60,8.0,ESCORTS,671.9,637.2
61,8.0,JINDALSTEL,165.3,142.8
62,8.0,RELIANCE,1265.7,1212.0
63,8.0,TATAMOTORS,183.6,165.0
64,9.0,ADANIENT,144.0,128.9
65,9.0,APOLLOTYRE,225.8,212.5
66,9.0,BAJFINANCE,2723.75,2636.5
67,9.0,CANBK,254.85,220.9
68,9.0,ESCORTS,718.0,659.05
69,9.0,JINDALSTEL,169.75,155.5
70,9.0,RELIANCE,1251.2,1215.0
71,9.0,TATAMOTORS,199.3,177.15
72,10.0,ADANIENT,151.15,135.7
73,10.0,APOLLOTYRE,229.3,212.4
74,10.0,BAJFINANCE,2828.0,2711.55
75,10.0,CANBK,264.35,249.8
76,10.0,ESCORTS,805.8,718.35
77,10.0,JINDALSTEL,174.25,162.05
78,10.0,RELIANCE,1338.4,1241.2
79,10.0,TATAMOTORS,195.95,181.3
80,11.0,ADANIENT,150.2,139.9
81,11.0,APOLLOTYRE,235.1,215.55
82,11.0,BAJFINANCE,2971.35,2763.05
83,11.0,CANBK,283.25,254.55
84,11.0,ESCORTS,819.35,779.0
85,11.0,JINDALSTEL,173.45,164.1
86,11.0,RELIANCE,1383.75,1251.0
87,11.0,TATAMOTORS,185.7,178.1
88,12.0,ADANIENT,143.45,131.25
89,12.0,APOLLOTYRE,223.85,210.15
90,12.0,BAJFINANCE,2945.5,2809.65
91,12.0,CANBK,283.9,266.6
92,12.0,ESCORTS,831.85,782.85
93,12.0,JINDALSTEL,170.25,160.6
94,12.0,RELIANCE,1391.4,1320.0
95,12.0,TATAMOTORS,184.05,171.0
96,13.0,ADANIENT,153.5,136.15
97,13.0,APOLLOTYRE,217.8,0.0
98,13.0,BAJFINANCE,3073.0,0.0
99,13.0,CANBK,306.6,0.0
100,13.0,ESCORTS,826.9,0.0
101,13.0,JINDALSTEL,188.0,0.0
102,13.0,RELIANCE,1424.5,1342.0
103,13.0,TATAMOTORS,207.2,167.7
104,14.0,ADANIENT,146.65,0.0
105,14.0,APOLLOTYRE,218.05,0.0
106,14.0,BAJFINANCE,3121.15,0.0
107,14.0,CANBK,293.0,0.0
108,14.0,ESCORTS,0.0,0.0
109,14.0,JINDALSTEL,187.35,0.0
110,14.0,RELIANCE,1417.0,1340.0
111,14.0,TATAMOTORS,211.6,202.7
112,15.0,ADANIENT,146.0,0.0
113,15.0,APOLLOTYRE,220.4,0.0
114,15.0,BAJFINANCE,3074.25,0.0
115,15.0,CANBK,290.35,0.0
116,15.0,ESCORTS,0.0,0.0
117,15.0,JINDALSTEL,0.0,0.0
118,15.0,RELIANCE,1375.6,1345.2
119,15.0,TATAMOTORS,235.8,209.8
120,16.0,ADANIENT,139.35,0.0
121,16.0,APOLLOTYRE,223.0,213.65
122,16.0,BAJFINANCE,3094.9,0.0
123,16.0,CANBK,285.0,272.75
124,16.0,ESCORTS,767.55,0.0
125,16.0,JINDALSTEL,186.3,176.8
126,16.0,RELIANCE,1401.75,1355.55
127,16.0,TATAMOTORS,242.0,232.65
128,17.0,ADANIENT,136.65,128.0
129,17.0,APOLLOTYRE,213.5,205.95
130,17.0,BAJFINANCE,3152.95,3078.3
131,17.0,CANBK,278.0,257.2
132,17.0,ESCORTS,765.6,731.15
133,17.0,JINDALSTEL,180.3,168.9
134,17.0,RELIANCE,1425.0,1381.65
135,17.0,TATAMOTORS,232.25,213.6
136,18.0,ADANIENT,130.6,122.1
137,18.0,APOLLOTYRE,207.25,196.5
138,18.0,BAJFINANCE,3196.5,3050.55
139,18.0,CANBK,272.7,258.1
140,18.0,ESCORTS,704.8,652.5
141,18.0,JINDALSTEL,185.0,170.0
142,18.0,RELIANCE,1429.4,1355.8
143,18.0,TATAMOTORS,216.05,191.6
144,19.0,ADANIENT,124.1,117.25
145,19.0,APOLLOTYRE,197.0,180.5
146,19.0,BAJFINANCE,3054.0,2875.25
147,19.0,CANBK,271.0,238.95
148,19.0,ESCORTS,656.3,573.0
149,19.0,JINDALSTEL,173.3,152.15
150,19.0,RELIANCE,1350.0,1238.0
151,19.0,TATAMOTORS,193.45,180.0
152,20.0,ADANIENT,160.0,113.45
153,20.0,APOLLOTYRE,187.4,175.85
154,20.0,BAJFINANCE,3506.25,2901.65
155,20.0,CANBK,272.2,241.5
156,20.0,ESCORTS,617.0,551.0
157,20.0,JINDALSTEL,170.2,154.95
158,20.0,RELIANCE,1373.65,1259.0
159,20.0,TATAMOTORS,193.5,169.3
160,21.0,ADANIENT,181.5,152.8
161,21.0,APOLLOTYRE,201.2,180.45
162,21.0,BAJFINANCE,3546.85,3392.25
163,21.0,CANBK,287.45,258.0
164,21.0,ESCORTS,653.65,593.05
165,21.0,JINDALSTEL,172.55,144.55
166,21.0,RELIANCE,1400.9,1316.4
167,21.0,TATAMOTORS,186.3,175.25
168,22.0,ADANIENT,162.85,149.95
169,22.0,APOLLOTYRE,200.9,188.45
170,22.0,BAJFINANCE,3564.9,3410.3
171,22.0,CANBK,281.8,264.2
172,22.0,ESCORTS,633.0,585.3
173,22.0,JINDALSTEL,169.2,155.55
174,22.0,RELIANCE,1373.8,1312.65
175,22.0,TATAMOTORS,180.75,169.2
176,23.0,ADANIENT,158.3,147.4
177,23.0,APOLLOTYRE,198.9,189.4
178,23.0,BAJFINANCE,3581.2,3439.0
179,23.0,CANBK,275.35,256.0
180,23.0,ESCORTS,610.45,570.55
181,23.0,JINDALSTEL,163.3,154.25
182,23.0,RELIANCE,1359.55,1311.3
183,23.0,TATAMOTORS,176.5,163.65
184,24.0,ADANIENT,160.0,144.5
185,24.0,APOLLOTYRE,199.0,184.0
186,24.0,BAJFINANCE,3577.35,3455.85
187,24.0,CANBK,270.85,253.15
188,24.0,ESCORTS,596.5,535.0
189,24.0,JINDALSTEL,171.4,150.6
190,24.0,RELIANCE,1341.9,1272.65
191,24.0,TATAMOTORS,173.5,157.0
192,25.0,ADANIENT,152.3,140.6
193,25.0,APOLLOTYRE,204.3,185.6
194,25.0,BAJFINANCE,3603.6,3498.0
195,25.0,CANBK,277.15,254.5
196,25.0,ESCORTS,564.45,519.6
197,25.0,JINDALSTEL,160.35,137.0
198,25.0,RELIANCE,1303.55,1257.25
199,25.0,TATAMOTORS,164.05,152.5
200,26.0,ADANIENT,155.1,0.0
201,26.0,APOLLOTYRE,204.7,0.0
202,26.0,BAJFINANCE,3661.5,0.0
203,26.0,CANBK,284.3,0.0
204,26.0,ESCORTS,563.75,0.0
205,26.0,JINDALSTEL,153.35,0.0
206,26.0,RELIANCE,1304.9,1269.0
207,26.0,TATAMOTORS,170.5,158.85
208,27.0,ADANIENT,0.0,0.0
209,27.0,APOLLOTYRE,198.45,0.0
210,27.0,BAJFINANCE,3663.0,0.0
211,27.0,CANBK,271.4,0.0
212,27.0,ESCORTS,534.75,0.0
213,27.0,JINDALSTEL,0.0,0.0
214,27.0,RELIANCE,1303.85,1261.65
215,27.0,TATAMOTORS,169.25,156.0
216,28.0,ADANIENT,0.0,0.0
217,28.0,APOLLOTYRE,185.9,0.0
218,28.0,BAJFINANCE,3582.0,3403.7
219,28.0,CANBK,277.0,0.0
220,28.0,ESCORTS,530.8,0.0
221,28.0,JINDALSTEL,143.4,0.0
