,Week_Number,Symbol,High,Low
124,16.0,ESCORTS,0.0,0.0
125,16.0,JINDALSTEL,185.5,0.0
126,16.0,RELIANCE,1401.75,1351.4
127,16.0,TATAMOTORS,242.0,222.0
128,17.0,ADANIENT,139.35,131.7
129,17.0,APOLLOTYRE,215.7,207.6
130,17.0,BAJFINANCE,3152.95,0.0
131,17.0,CANBK,278.0,271.95
132,17.0,ESCORTS,767.55,742.7
133,17.0,JINDALSTEL,186.3,168.9
134,17.0,RELIANCE,1425.0,1355.55
135,17.0,TATAMOTORS,241.3,216.85
136,18.0,ADANIENT,130.6,127.4
137,18.0,APOLLOTYRE,209.7,203.05
138,18.0,BAJFINANCE,3196.5,3078.3
139,18.0,CANBK,274.0,257.2
140,18.0,ESCORTS,753.0,673.6
141,18.0,JINDALSTEL,185.0,170.15
142,18.0,RELIANCE,1429.4,1383.7
143,18.0,TATAMOTORS,221.15,205.55
144,19.0,ADANIENT,127.4,120.1
145,19.0,APOLLOTYRE,203.95,183.25
146,19.0,BAJFINANCE,3130.7,2920.0
147,19.0,CANBK,271.0,256.65
148,19.0,ESCORTS,677.0,600.0
149,19.0,JINDALSTEL,180.15,163.1
150,19.0,RELIANCE,1414.9,1258.0
151,19.0,TATAMOTORS,207.95,184.85
152,20.0,ADANIENT,124.1,113.45
153,20.0,APOLLOTYRE,190.35,175.85
154,20.0,BAJFINANCE,3344.0,2875.25
155,20.0,CANBK,269.75,238.95
156,20.0,ESCORTS,606.2,551.0
157,20.0,JINDALSTEL,164.0,152.15
158,20.0,RELIANCE,1285.8,1238.0
159,20.0,TATAMOTORS,188.25,169.3
160,21.0,ADANIENT,181.5,129.15
161,21.0,APOLLOTYRE,196.6,180.45
162,21.0,BAJFINANCE,3546.85,3365.4
163,21.0,CANBK,281.75,257.0
164,21.0,ESCORTS,642.7,575.55
165,21.0,JINDALSTEL,170.2,144.55
166,21.0,RELIANCE,1400.9,1305.0
167,21.0,TATAMOTORS,193.5,174.95
168,22.0,ADANIENT,161.25,149.95
169,22.0,APOLLOTYRE,201.2,188.45
170,22.0,BAJFINANCE,3544.1,3410.3
171,22.0,CANBK,287.45,264.2
172,22.0,ESCORTS,653.65,590.8
173,22.0,JINDALSTEL,172.55,156.8
174,22.0,RELIANCE,1348.4,1312.65
175,22.0,TATAMOTORS,186.3,170.6
176,23.0,ADANIENT,162.85,147.4
177,23.0,APOLLOTYRE,200.9,189.9
178,23.0,BAJFINANCE,3564.9,3439.0
179,23.0,CANBK,281.8,257.8
180,23.0,ESCORTS,616.1,570.55
181,23.0,JINDALSTEL,163.35,155.0
182,23.0,RELIANCE,1373.8,1311.3
183,23.0,TATAMOTORS,177.8,167.6
184,24.0,ADANIENT,160.0,147.55
185,24.0,APOLLOTYRE,197.3,184.4
186,24.0,BAJFINANCE,3581.2,3495.0
187,24.0,CANBK,270.85,253.15
188,24.0,ESCORTS,599.7,556.85
189,24.0,JINDALSTEL,171.4,154.25
190,24.0,RELIANCE,1341.9,1312.1
191,24.0,TATAMOTORS,173.5,163.65
192,25.0,ADANIENT,154.0,140.6
193,25.0,APOLLOTYRE,199.0,184.0
194,25.0,BAJFINANCE,3603.6,3455.85
195,25.0,CANBK,273.35,254.5
196,25.0,ESCORTS,560.9,519.6
197,25.0,JINDALSTEL,165.05,142.15
198,25.0,RELIANCE,1319.75,1265.3
199,25.0,TATAMOTORS,164.5,152.5
200,26.0,ADANIENT,155.1,144.55
201,26.0,APOLLOTYRE,204.7,193.9
202,26.0,BAJFINANCE,3661.5,3534.5
203,26.0,CANBK,284.3,269.7
204,26.0,ESCORTS,564.45,525.1
205,26.0,JINDALSTEL,153.35,137.0
206,26.0,RELIANCE,1304.9,1257.25
207,26.0,TATAMOTORS,168.05,156.3
208,27.0,ADANIENT,0.0,0.0
209,27.0,APOLLOTYRE,198.45,0.0
210,27.0,BAJFINANCE,0.0,0.0
211,27.0,CANBK,0.0,0.0
212,27.0,ESCORTS,0.0,0.0
213,27.0,JINDALSTEL,0.0,0.0
214,27.0,RELIANCE,1303.85,1269.0
215,27.0,TATAMOTORS,170.5,162.65
216,28.0,ADANIENT,0.0,0.0
217,28.0,APOLLOTYRE,185.9,0.0
218,28.0,BAJFINANCE,3663.0,3421.0
219,28.0,CANBK,271.4,0.0
220,28.0,ESCORTS,534.75,0.0
221,28.0,JINDALSTEL,0.0,0.0
222,28.0,RELIANCE,1307.15,1261.65
223,28.0,TATAMOTORS,164.7,151.15
224,29.0,ADANIENT,133.25,0.0
225,29.0,APOLLOTYRE,184.05,171.75
226,29.0,BAJFINANCE,3555.7,3316.1
227,29.0,CANBK,283.9,266.0
228,29.0,ESCORTS,530.8,0.0
229,29.0,JINDALSTEL,145.1,0.0
230,29.0,RELIANCE,1302.45,1252.6
231,29.0,TATAMOTORS,173.4,155.5
232,30.0,ADANIENT,135.35,0.0
233,30.0,APOLLOTYRE,172.2,162.3
234,30.0,BAJFINANCE,3326.05,3016.5
235,30.0,CANBK,268.8,236.9
236,30.0,ESCORTS,506.5,472.5
237,30.0,JINDALSTEL,150.0,134.95
238,30.0,RELIANCE,1298.0,1217.1
239,30.0,TATAMOTORS,160.65,140.6
240,31.0,ADANIENT,130.9,123.4
241,31.0,APOLLOTYRE,161.75,145.35
242,31.0,BAJFINANCE,3330.75,3149.35
243,31.0,CANBK,245.0,225.1
244,31.0,ESCORTS,482.2,456.55
245,31.0,JINDALSTEL,138.7,119.15
246,31.0,RELIANCE,1227.0,1156.05
247,31.0,TATAMOTORS,146.45,127.8
248,32.0,ADANIENT,136.2,121.9
249,32.0,APOLLOTYRE,164.0,147.6
250,32.0,BAJFINANCE,3474.8,3171.0
251,32.0,CANBK,236.6,219.0
252,32.0,ESCORTS,498.05,445.5
253,32.0,JINDALSTEL,118.45,110.0
254,32.0,RELIANCE,1183.95,1106.5
255,32.0,TATAMOTORS,128.85,117.3
256,33.0,ADANIENT,134.35,129.0
257,33.0,APOLLOTYRE,164.45,155.8
258,33.0,BAJFINANCE,3440.25,3235.0
259,33.0,CANBK,237.55,221.0
260,33.0,ESCORTS,488.0,457.7
261,33.0,JINDALSTEL,107.25,100.7
262,33.0,RELIANCE,1310.55,1233.1
263,33.0,TATAMOTORS,127.25,117.7
264,34.0,ADANIENT,136.5,122.1
265,34.0,APOLLOTYRE,165.25,159.0
266,34.0,BAJFINANCE,3396.7,3009.0
267,34.0,CANBK,237.2,208.15
268,34.0,ESCORTS,480.75,425.95
269,34.0,JINDALSTEL,106.6,101.5
270,34.0,RELIANCE,1304.4,1232.85
271,34.0,TATAMOTORS,124.9,106.85
272,35.0,ADANIENT,138.75,128.2
273,35.0,APOLLOTYRE,170.25,161.75
274,35.0,BAJFINANCE,3408.55,3195.0
275,35.0,CANBK,234.05,216.45
276,35.0,ESCORTS,518.65,463.65
277,35.0,JINDALSTEL,98.75,101.8
278,35.0,RELIANCE,1303.0,1224.6
279,35.0,TATAMOTORS,124.1,107.1
280,36.0,ADANIENT,139.0,130.65
281,36.0,APOLLOTYRE,174.5,165.5
282,36.0,BAJFINANCE,3396.0,3213.3
283,36.0,CANBK,213.15,190.3
284,36.0,ESCORTS,504.8,450.0
285,36.0,JINDALSTEL,97.4,91.25
286,36.0,RELIANCE,1249.3,1192.15
287,36.0,TATAMOTORS,122.75,106.3
288,37.0,ADANIENT,147.1,136.5
289,37.0,APOLLOTYRE,181.05,172.55
290,37.0,BAJFINANCE,3457.95,3358.05
291,37.0,CANBK,207.9,191.55
292,37.0,ESCORTS,538.45,474.45
293,37.0,JINDALSTEL,99.4,104.6
294,37.0,RELIANCE,1245.0,1208.6
295,37.0,TATAMOTORS,135.75,117.75
296,38.0,ADANIENT,152.45,140.7
297,38.0,APOLLOTYRE,189.75,172.75
298,38.0,BAJFINANCE,3746.95,3281.4
299,38.0,CANBK,207.1,187.05
300,38.0,ESCORTS,584.0,498.6
301,38.0,JINDALSTEL,112.45,101.7
302,38.0,RELIANCE,1272.1,1173.9
303,38.0,TATAMOTORS,138.25,120.8
304,39.0,ADANIENT,155.8,145.05
305,39.0,APOLLOTYRE,192.75,182.15
306,39.0,BAJFINANCE,4032.35,3755.15
307,39.0,CANBK,212.45,190.5
308,39.0,ESCORTS,638.0,576.0
309,39.0,JINDALSTEL,114.5,101.25
310,39.0,RELIANCE,1301.5,1236.3
311,39.0,TATAMOTORS,138.4,121.5
312,40.0,ADANIENT,145.75,0.0
313,40.0,APOLLOTYRE,166.0,164.5
314,40.0,BAJFINANCE,4115.0,3957.25
315,40.0,CANBK,185.9,174.0
316,40.0,ESCORTS,599.85,0.0
317,40.0,JINDALSTEL,0.0,0.0
318,40.0,RELIANCE,1358.3,1311.2
319,40.0,TATAMOTORS,124.85,116.0
320,41.0,ADANIENT,138.75,136.1
321,41.0,APOLLOTYRE,164.6,0.0
322,41.0,BAJFINANCE,4077.0,3949.0
323,41.0,CANBK,185.6,0.0
324,41.0,ESCORTS,606.9,0.0
325,41.0,JINDALSTEL,0.0,0.0
326,41.0,RELIANCE,1380.95,1312.75
327,41.0,TATAMOTORS,123.65,117.2
328,42.0,ADANIENT,173.0,148.2
329,42.0,APOLLOTYRE,179.65,0.0
330,42.0,BAJFINANCE,4221.75,3895.0
331,42.0,CANBK,190.0,180.0
332,42.0,ESCORTS,630.0,0.0
333,42.0,JINDALSTEL,98.5,0.0
334,42.0,RELIANCE,1440.0,1366.8
335,42.0,TATAMOTORS,143.8,125.25
336,43.0,ADANIENT,184.0,0.0
337,43.0,APOLLOTYRE,182.8,0.0
